종목,티커,시장,종가,등락률(%),RSI(14),통화,기준일
삼성전자,005930,KRX,260000.0,1.17,49.7,KRW,20260831
SK하이닉스,000660,KRX,1674000.0,1.27,48.74,KRW,20260831
한화오션,042660,KRX,88000.0,-0.56,48.7,KRW,20260831
효성중공업,298040,KRX,2963000.0,-6.03,52.81,KRW,20260831
NVDA,NVDA,US,227.98,8.74,61.42,USD,20260827
AMD,AMD,US,476.67,-0.89,47.13,USD,20260827
NVDY,NVDY,US,12.95,6.61,61.48,USD,20260827
AMDY,AMDY,US,43.01,-0.78,46.16,USD,20260827
GOOY,GOOY,US,12.11,-0.16,45.73,USD,20260827
TSLA,TSLA,US,354.81,2.6,53.81,USD,20260827
MSFT,MSFT,US,505.06,1.75,70.95,USD,20260827
